,,,,,,,,,,FIXEALA,
Listado de incidencias barriales de la República Argentina,,,,,,,,,,,
id,,date,title,address,city,province,,username,status,,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,,
Creado:,27/12/2013 12.17 PM,,,,,,Página 1 de,,,,7
id,,date,title,address,city,province,,username,status,
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
Creado:,27/12/2013 12.17 PM,,,,,,Página 2 de,,,7
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
Creado:,27/12/2013 12.17 PM,,,,,,Página 3 de,,,7
id,,date,title,address,city,province,,username,status,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
Creado:,27/12/2013 12.17 PM,,,,,,Página 4 de,,,7
id,,date,title,address,city,province,,username,status,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
Creado:,27/12/2013 12.17 PM,,,,,,Página 5 de,,,7
id,,date,title,address,city,province,,username,status,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
id,,date,title,address,city,province,,username,status,
82621,,12/19/13 12:00 AM,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma ,,mock,RESUELTO,
1011,,12/11/13 12:00 AM,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma ,,mock,REABIERTO,
48898,,11/12/13 5:09 PM,un reclamo con ,Gral. Heredia 602-,Gerli,Buenos Aires,,mock,ABIERTO,
17324,,11/12/13 5:06 PM,sdfdffd,Honduras 5501-,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
22085,,11/12/13 5:03 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
3529,,11/12/13 5:02 PM,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
18865,,11/12/13 4:52 PM,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma ,,mock,ABIERTO,
Creado:,27/12/2013 12.17 PM,,,,,,Página 6 de,,,7
id,,date,title,address,city,province,,username,status,
Creado:,27/12/2013 12.17 PM,,,,,,Página 7 de,,,7
